,Unnamed: 0.1,Unnamed: 0,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
79,79,5609.0,2844.796,681.93,509.32,127.00384164044414,1190.0272518308143,127.00089773224141,1190.8038600943028,1632.28,-206.92
80,80,5680.0,2880.463,797.02,423.74,127.75173141996964,1029.4799291389804,127.61435819717204,1029.8201274157814,1611.0,-206.55
81,81,5751.0,2916.12,910.32,338.36,128.7192182056175,870.5614306296826,128.71210033411276,871.9192031142867,1589.55,-206.18
82,82,5822.0,2952.156,1025.23,252.22,130.1585237682291,710.2135625993071,130.20543388433381,711.7988248207539,1568.02,-205.8
83,83,5893.0,2987.809,1140.44,168.5,132.63131613559318,552.1069505992476,132.57329257051242,561.5581523767623,1546.64,-205.43
84,84,5964.0,3023.678,1255.59,82.65,136.84741153645604,394.37458969867726,136.82759818100243,405.5803411163807,1525.32,-205.06
85,85,6035.0,3059.639,1369.65,-2.47,146.4409074993656,242.65700834717296,146.35830137811234,244.90100240611054,1503.79,-204.68
86,86,6106.0,3095.111,1484.02,-88.24,180.85399240228705,116.07289304570642,180.94053261475477,114.39265622238281,1482.29,-204.3
87,87,6177.0,3130.403,1522.82,-183.97,252.1574860576837,65.14323986416395,252.1968460688957,74.83698778900812,1460.81,-203.93
88,88,6248.0,3166.322,1384.6,-202.65,90.94945158987582,54.917540003172114,90.77591273158086,84.32378708493582,1439.51,-203.56
89,89,6319.0,3201.99,1264.99,-199.35,91.43256353627322,153.1978831446441,91.41538238456918,148.28632636543253,1418.14,-203.18
90,90,6390.0,3238.085,1264.44,-199.34,91.50242466866104,132.34549822340006,91.48119290488398,143.94004585995793,1396.74,-202.81
91,91,6461.0,3273.288,1264.44,-199.34,91.46787342887473,110.86638128846808,91.42209102061403,33.35760471785524,1375.27,-202.18
92,92,6532.0,3309.531,1264.44,-199.34,91.3469820799773,89.33468587284555,91.29681927302104,89.26479244976198,1353.75,-201.44
93,93,6603.0,3344.889,1264.44,-199.34,91.1622659513988,68.03399738366105,91.13923435013297,42.895569146374044,1332.46,-200.72
