,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys,Xs_m,Ys_m
49,32.415,341.13,93.82,281.02357626836226,424.9713219736127,281.03536816769446,410.7518440056808,-76.0,175.07999999999998,-71.8940803250207,174.36836942172482
50,32.923,341.82,93.93,280.8993323123801,426.3713484745428,281.1932237336612,430.83853456538,-76.86,174.55,-91.16747336516107,179.61061334246705
51,33.429,342.51,94.03,280.7759021931048,427.77336674926363,280.7919747186263,432.3081530498504,-77.72,174.01,-92.54584134205237,176.9581872652215
52,33.937,343.2,94.14,280.65327907477194,429.1773572778508,280.8209409074371,419.7184414604287,-78.58,173.48,-79.14535353149012,174.86667542590618
53,34.443,343.89,94.26,280.5301479359174,430.5814731267475,280.57415247840646,436.97447281700124,-79.44,172.95,-96.17731328919342,176.41089841619646
54,34.951,344.58000000000004,94.38,280.4078178028978,431.9875646358354,280.3923972556863,436.33261852499055,-80.3,172.42000000000002,-95.09892317833834,175.01587693106035
55,35.458,345.27,94.5,280.28628198934325,433.3956125758543,280.31706436442926,433.40547062716723,-81.16,171.89,-91.56425836651681,174.02064536990446
56,35.965,345.96000000000004,94.63,280.16400427758447,434.8136761878587,280.162982572523,435.5009956284027,-82.03,171.36,-93.19965778545048,173.35441219219334
57,36.472,346.65,94.76,280.0427511320404,436.22386053493216,279.96651162183264,423.7067739238572,-82.89,170.82999999999998,-80.87648013205393,169.88682908329946
58,36.879,347.2,94.87,279.9458275971308,437.3629107503287,279.6430039874961,430.93771446628966,-83.59,170.41,-88.04709973701796,168.82260435055696
59,37.488,348.03,95.03,279.81900380288573,438.90941309112975,279.91912513091285,427.0179986212172,-84.45,169.88,-82.90002730642635,170.38756250734906
60,37.995,348.73,95.17,279.69826530849286,440.34313313596704,279.6632548469719,501.472974183301,-85.32,169.35,-157.72726537970544,181.4060690615503
61,38.401,349.42,95.31,279.5800215508282,441.760738862113,279.8167671562858,430.45375703772515,-86.18,168.82999999999998,-85.11227661821493,170.4977200204122
62,38.908,349.97,95.43,279.466574229696,443.053628018099,279.500974295587,442.6707991889834,-87.05,168.3,-97.31445294595034,170.28756629528417
63,39.417,350.66,95.57,279.3483106064573,444.4831339882314,279.35510918690926,447.32923340534234,-87.92,167.77,-101.52255375875501,170.0643922387796
64,39.923,351.35,95.72,279.2310118573697,445.90465101857814,279.15685709040133,437.75036626261544,-88.78,167.25,-91.39935311442952,167.08765976851038
65,40.429,352.04,95.87,279.11425620853333,447.3378987968715,278.86310636727416,449.3407527594272,-89.65,166.73,-102.80170796909562,166.79627926824628
66,40.937,352.73,96.02,278.99698579399535,448.7714283463242,278.96441129062066,376.6338168895579,-90.52,166.2,-28.408964056320258,156.143825843433
