,Time,X,Y,BAO,RAO,X_n,Y_n,BAO_n,RAO_n,X_o,Y_o
8375,4208.005,342.26,-59.93,1.6587155287929343,112.97636035914769,342.7235853648835,-59.43812639873403,1.6673003426386672,113.4399457240312,229.72,-50.01
8376,4208.518,342.97,-59.94,1.649964671593202,113.2948595479954,343.20721927893175,-58.80719309809085,1.669735881820833,113.53207882692712,230.03,-50.98
8377,4208.918,343.68,-59.94,1.6412697372653053,113.61201036862258,343.316145283931,-61.25914795560082,1.6182462621191191,113.24815565255355,230.35,-51.94
8378,4209.225,344.39,-59.95,1.6326184389550413,113.94768317083063,343.46996503371656,-60.29305080880883,1.6266310728396978,113.02764820454722,230.66,-52.91
8379,4209.934,344.95,-59.95,1.6240885101730569,114.14204659107877,346.0280320662864,-59.15290499405039,1.6380004424780814,115.2200786573652,230.97,-53.87
8380,4210.339,345.66,-59.96,1.615620701767739,114.48499377647713,346.541130907636,-59.3376140698062,1.6264833854677085,115.36612468411312,231.29,-54.83
8381,4210.947,346.35,-59.99,1.609034759370019,114.8339435881221,345.66190612387396,-60.47969168506144,1.6004880271460578,114.14584971199606,231.6,-55.6
8382,4211.453,346.97,-60.15,1.6019004934236638,115.1156809474713,344.9948533992034,-60.008759182540665,1.6043656107265374,113.14053434667471,231.91,-56.57
8383,4211.961,347.48,-60.38,1.5937857682625447,115.28046235160582,346.75669109809775,-60.14196207952494,1.597940313719435,114.55715344970352,232.23,-57.73
8384,4212.264,347.91,-60.65,1.589420180385016,115.45002122130602,348.2057346997221,-61.26914858596416,1.5786139990008743,115.74575592102805,232.48,-58.5
8385,4212.975,348.29,-60.97,1.583869175103762,115.50987014104037,350.3099295448298,-61.27754629756673,1.5785014796089043,117.52979968587013,232.79,-59.46
8386,4213.482,348.65,-61.34,1.5786722241830602,115.54358355183551,347.72467720940443,-60.074694916749806,1.6007559639279971,114.61826076124,233.11,-60.43
8387,4213.989,348.97,-61.76,1.5739983928739485,115.55059238273081,348.28197989407647,-59.966008438476884,1.6053094523755211,114.86257227680723,233.42,-61.39
