,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys,Vx,Vy
1124,17237.389,-53.57,-54.73,22.9952486087405,247.149150514421,22.9952486087405,247.149150514421,42.98,172.78,1.02266666666667,1.26333333333333
1125,17252.553,-31.34,-72.73,18.752535298436,279.549639599124,18.752535298436,279.549639599124,58.53,191.98,1.03666666666667,1.28
1126,17267.689,-7.66,-91.9,15.1066338017918,314.063252546362,15.1066338017918,314.063252546362,74.19,211.31,1.044,1.28866666666667
1127,17282.747,15.93,-111.01,12.0613920686173,347.818346267128,12.0613920686173,347.818346267128,88.61,229.13,0.961333333333334,1.188
1128,17297.841,39.65,-130.21,9.63520407795352,383.570887320714,9.63520407795352,383.570887320714,103.85,247.95,1.016,1.25466666666667
1129,17313.027,63.24,-149.31,7.66410204618744,420.274330527098,7.66410204618744,420.274330527098,119.29,267.21,1.02933333333333,1.284
1130,17328.082,86.86,-168.44,5.99885334472428,457.85723211499,5.99885334472428,457.85723211499,134.71,286.91,1.028,1.31333333333334
1131,17343.29,110.53,-187.61,4.54130582297348,495.214720803007,4.54130582297348,495.214720803007,149.74,306.05,1.002,1.276
1132,17358.363,134.29,-206.85,3.47705712786936,524.164901629249,3.47705712786936,524.164901629249,166.08,316.35,1.08933333333333,0.686666666666667
1133,17373.511,156.42,-224.77,2.22371554486178,520.341847826984,2.22371554486178,520.341847826984,176.61,295.18,0.702,-1.41133333333333
1134,17388.668,180.1,-243.95,0.502201584871457,515.689809187655,0.502201584871457,515.689809187655,184.62,271.72,0.533999999999999,-1.564
1135,17403.816,203.81,-263.15,358.72081838518,511.107374726681,358.72081838518,511.107374726681,192.4,247.83,0.518666666666667,-1.59266666666667
1136,17418.847,227.35,-282.21,356.904053640876,507.700992711261,356.904053640876,507.700992711261,199.93,224.75,0.502,-1.53866666666667
1137,17433.938,250.92,-301.3,354.99038860251,506.053090594258,354.99038860251,506.053090594258,206.73,202.82,0.453333333333332,-1.462
